"ID","Area","Year","Element","Unit","Value","Item","Element.1","Unit.1","Value.1","Item.1","Unit.2","Value.2"
"Argentina 1978","Argentina",1978,"Total Population - Both sexes","1000 persons",27146.121,"Cereals, primary","Production","tonnes",27700200,"Cropland","1000 ha",26080
"Argentina 1979","Argentina",1979,"Total Population - Both sexes","1000 persons",27584.134,"Cereals, primary","Production","tonnes",25071000,"Cropland","1000 ha",26212
"Argentina 1980","Argentina",1980,"Total Population - Both sexes","1000 persons",28024.803,"Cereals, primary","Production","tonnes",18652400,"Cropland","1000 ha",26344
"Argentina 1981","Argentina",1981,"Total Population - Both sexes","1000 persons",28471.285,"Cereals, primary","Production","tonnes",30014200,"Cropland","1000 ha",26475
"Argentina 1982","Argentina",1982,"Total Population - Both sexes","1000 persons",28922.762,"Cereals, primary","Production","tonnes",34328400,"Cropland","1000 ha",26607
"Argentina 1983","Argentina",1983,"Total Population - Both sexes","1000 persons",29377.137,"Cereals, primary","Production","tonnes",31687000,"Cropland","1000 ha",26739
"Argentina 1984","Argentina",1984,"Total Population - Both sexes","1000 persons",29832.197,"Cereals, primary","Production","tonnes",31849300,"Cropland","1000 ha",26870
"Argentina 1985","Argentina",1985,"Total Population - Both sexes","1000 persons",30287.112,"Cereals, primary","Production","tonnes",28074800,"Cropland","1000 ha",27001
"Argentina 1986","Argentina",1986,"Total Population - Both sexes","1000 persons",30748.326,"Cereals, primary","Production","tonnes",26130800,"Cropland","1000 ha",27133
"Argentina 1987","Argentina",1987,"Total Population - Both sexes","1000 persons",31216.453,"Cereals, primary","Production","tonnes",22947900,"Cropland","1000 ha",27264
"Argentina 1988","Argentina",1988,"Total Population - Both sexes","1000 persons",31690.792,"Cereals, primary","Production","tonnes",22336300,"Cropland","1000 ha",27392
"Argentina 1989","Argentina",1989,"Total Population - Both sexes","1000 persons",32165.766,"Cereals, primary","Production","tonnes",18133270,"Cropland","1000 ha",27490
"Argentina 1990","Argentina",1990,"Total Population - Both sexes","1000 persons",32637.657,"Cereals, primary","Production","tonnes",19142700,"Cropland","1000 ha",27595
"Argentina 1991","Argentina",1991,"Total Population - Both sexes","1000 persons",33105.763,"Cereals, primary","Production","tonnes",22838060,"Cropland","1000 ha",27700
"Argentina 1992","Argentina",1992,"Total Population - Both sexes","1000 persons",33568.285,"Cereals, primary","Production","tonnes",25622020,"Cropland","1000 ha",27805
"Argentina 1993","Argentina",1993,"Total Population - Both sexes","1000 persons",34027.24,"Cereals, primary","Production","tonnes",25568081,"Cropland","1000 ha",27910
"Argentina 1994","Argentina",1994,"Total Population - Both sexes","1000 persons",34488.696,"Cereals, primary","Production","tonnes",23789591,"Cropland","1000 ha",28018
"Argentina 1995","Argentina",1995,"Total Population - Both sexes","1000 persons",34946.11,"Cereals, primary","Production","tonnes",26281514,"Cropland","1000 ha",28125
"Argentina 1996","Argentina",1996,"Total Population - Both sexes","1000 persons",35389.362,"Cereals, primary","Production","tonnes",24089764,"Cropland","1000 ha",28232
"Argentina 1997","Argentina",1997,"Total Population - Both sexes","1000 persons",35815.971,"Cereals, primary","Production","tonnes",36698490,"Cropland","1000 ha",28335
"Argentina 1998","Argentina",1998,"Total Population - Both sexes","1000 persons",36233.195,"Cereals, primary","Production","tonnes",40418872,"Cropland","1000 ha",28440
"Argentina 1999","Argentina",1999,"Total Population - Both sexes","1000 persons",36653.031,"Cereals, primary","Production","tonnes",31936418,"Cropland","1000 ha",28532
"Argentina 2000","Argentina",2000,"Total Population - Both sexes","1000 persons",37070.774,"Cereals, primary","Production","tonnes",37983923,"Cropland","1000 ha",28640
"Argentina 2001","Argentina",2001,"Total Population - Both sexes","1000 persons",37480.493,"Cereals, primary","Production","tonnes",36655385,"Cropland","1000 ha",28746
"Argentina 2002","Argentina",2002,"Total Population - Both sexes","1000 persons",37885.028,"Cereals, primary","Production","tonnes",35057269,"Cropland","1000 ha",28862
"Argentina 2003","Argentina",2003,"Total Population - Both sexes","1000 persons",38278.164,"Cereals, primary","Production","tonnes",32473165,"Cropland","1000 ha",30828.2
"Argentina 2004","Argentina",2004,"Total Population - Both sexes","1000 persons",38668.796,"Cereals, primary","Production","tonnes",34193141,"Cropland","1000 ha",32794.4
"Argentina 2005","Argentina",2005,"Total Population - Both sexes","1000 persons",39070.501,"Cereals, primary","Production","tonnes",41947408,"Cropland","1000 ha",34791.6
"Argentina 2006","Argentina",2006,"Total Population - Both sexes","1000 persons",39476.851,"Cereals, primary","Production","tonnes",32262738,"Cropland","1000 ha",36582.5
"Argentina 2007","Argentina",2007,"Total Population - Both sexes","1000 persons",39876.111,"Cereals, primary","Production","tonnes",42067213,"Cropland","1000 ha",37984.9
"Argentina 2008","Argentina",2008,"Total Population - Both sexes","1000 persons",40273.769,"Cereals, primary","Production","tonnes",44956952,"Cropland","1000 ha",36636.3
"Argentina 2009","Argentina",2009,"Total Population - Both sexes","1000 persons",40684.338,"Cereals, primary","Production","tonnes",26147049,"Cropland","1000 ha",35490.7
"Argentina 2010","Argentina",2010,"Total Population - Both sexes","1000 persons",41100.123,"Cereals, primary","Production","tonnes",39769212,"Cropland","1000 ha",39003.1
"Argentina 2011","Argentina",2011,"Total Population - Both sexes","1000 persons",41520.74,"Cereals, primary","Production","tonnes",50916576,"Cropland","1000 ha",39626.5
"Argentina 2012","Argentina",2012,"Total Population - Both sexes","1000 persons",41952.365,"Cereals, primary","Production","tonnes",47372117,"Cropland","1000 ha",40622.9
"Argentina 2013","Argentina",2013,"Total Population - Both sexes","1000 persons",42388.269,"Cereals, primary","Production","tonnes",50742603,"Cropland","1000 ha",40391.3
"Argentina 2014","Argentina",2014,"Total Population - Both sexes","1000 persons",42824.054,"Cereals, primary","Production","tonnes",50794075.58,"Cropland","1000 ha",39039.7
"Argentina 2015","Argentina",2015,"Total Population - Both sexes","1000 persons",43257.065,"Cereals, primary","Production","tonnes",55980088.03,"Cropland","1000 ha",37688.1
"Argentina 2016","Argentina",2016,"Total Population - Both sexes","1000 persons",43668.241,"Cereals, primary","Production","tonnes",61148032.97,"Cropland","1000 ha",36336.5
"Argentina 2017","Argentina",2017,"Total Population - Both sexes","1000 persons",44054.616,"Cereals, primary","Production","tonnes",76397452.56,"Cropland","1000 ha",34984.9
"Argentina 2018","Argentina",2018,"Total Population - Both sexes","1000 persons",44413.596,"Cereals, primary","Production","tonnes",70591420.02,"Cropland","1000 ha",33700.7597
"Argentina 2019","Argentina",2019,"Total Population - Both sexes","1000 persons",44745.52,"Cereals, primary","Production","tonnes",83616257.66,"Cropland","1000 ha",33700.7597
"Argentina 2020","Argentina",2020,"Total Population - Both sexes","1000 persons",45036.032,"Cereals, primary","Production","tonnes",86572197.88,"Cropland","1000 ha",33700.7597
"Australia 1961","Australia",1961,"Total Population - Both sexes","1000 persons",10505.938,"Cereals, primary","Production","tonnes",9149882,"Cropland","1000 ha",14551.3932
"Australia 1962","Australia",1962,"Total Population - Both sexes","1000 persons",10711.941,"Cereals, primary","Production","tonnes",11143648,"Cropland","1000 ha",15694.266
"Australia 1963","Australia",1963,"Total Population - Both sexes","1000 persons",10917.375,"Cereals, primary","Production","tonnes",11812267,"Cropland","1000 ha",15563.9526
"Australia 1964","Australia",1964,"Total Population - Both sexes","1000 persons",11131.609,"Cereals, primary","Production","tonnes",13001568,"Cropland","1000 ha",16478.1699
"Australia 1965","Australia",1965,"Total Population - Both sexes","1000 persons",11359.442,"Cereals, primary","Production","tonnes",9684056,"Cropland","1000 ha",17510.9643
"Australia 1966","Australia",1966,"Total Population - Both sexes","1000 persons",11592.675,"Cereals, primary","Production","tonnes",16585035,"Cropland","1000 ha",18968.289
"Australia 1967","Australia",1967,"Total Population - Both sexes","1000 persons",11809.11,"Cereals, primary","Production","tonnes",9873734,"Cropland","1000 ha",19456.3572
"Australia 1968","Australia",1968,"Total Population - Both sexes","1000 persons",12027.262,"Cereals, primary","Production","tonnes",18905065,"Cropland","1000 ha",21595.1967
"Australia 1969","Australia",1969,"Total Population - Both sexes","1000 persons",12268.349,"Cereals, primary","Production","tonnes",14250318,"Cropland","1000 ha",19822.206
"Australia 1970","Australia",1970,"Total Population - Both sexes","1000 persons",12595.034,"Cereals, primary","Production","tonnes",12904533,"Cropland","1000 ha",18680.1426
"Australia 1971","Australia",1971,"Total Population - Both sexes","1000 persons",12993.834,"Cereals, primary","Production","tonnes",14840092,"Cropland","1000 ha",17047
"Australia 1972","Australia",1972,"Total Population - Both sexes","1000 persons",13300.308,"Cereals, primary","Production","tonnes",10781927,"Cropland","1000 ha",17231
"Australia 1973","Australia",1973,"Total Population - Both sexes","1000 persons",13513.318,"Cereals, primary","Production","tonnes",16997800,"Cropland","1000 ha",15102
"Australia 1974","Australia",1974,"Total Population - Both sexes","1000 persons",13713.388,"Cereals, primary","Production","tonnes",16367969,"Cropland","1000 ha",14957
"Australia 1975","Australia",1975,"Total Population - Both sexes","1000 persons",13886.854,"Cereals, primary","Production","tonnes",17767379,"Cropland","1000 ha",13747
"Australia 1976","Australia",1976,"Total Population - Both sexes","1000 persons",14038.072,"Cereals, primary","Production","tonnes",17448064,"Cropland","1000 ha",14642
"Australia 1977","Australia",1977,"Total Population - Both sexes","1000 persons",14193.365,"Cereals, primary","Production","tonnes",14417267,"Cropland","1000 ha",15010
"Australia 1978","Australia",1978,"Total Population - Both sexes","1000 persons",14355.814,"Cereals, primary","Production","tonnes",25274482,"Cropland","1000 ha",16800
"Australia 1979","Australia",1979,"Total Population - Both sexes","1000 persons",14520.527,"Cereals, primary","Production","tonnes",23343860,"Cropland","1000 ha",17438
"Australia 1980","Australia",1980,"Total Population - Both sexes","1000 persons",14706.322,"Cereals, primary","Production","tonnes",16402312,"Cropland","1000 ha",17954
"Australia 1981","Australia",1981,"Total Population - Both sexes","1000 persons",14930.052,"Cereals, primary","Production","tonnes",23703676,"Cropland","1000 ha",18396
"Australia 1982","Australia",1982,"Total Population - Both sexes","1000 persons",15168.445,"Cereals, primary","Production","tonnes",14186565,"Cropland","1000 ha",19613
"Australia 1983","Australia",1983,"Total Population - Both sexes","1000 persons",15383.076,"Cereals, primary","Production","tonnes",31068963,"Cropland","1000 ha",19421
"Australia 1984","Australia",1984,"Total Population - Both sexes","1000 persons",15579.476,"Cereals, primary","Production","tonnes",28602111,"Cropland","1000 ha",21911
"Australia 1985","Australia",1985,"Total Population - Both sexes","1000 persons",15785.682,"Cereals, primary","Production","tonnes",24942194,"Cropland","1000 ha",21136
"Australia 1986","Australia",1986,"Total Population - Both sexes","1000 persons",16012.299,"Cereals, primary","Production","tonnes",24001774,"Cropland","1000 ha",20853
"Australia 1987","Australia",1987,"Total Population - Both sexes","1000 persons",16259.249,"Cereals, primary","Production","tonnes",19899619,"Cropland","1000 ha",19765
"Australia 1988","Australia",1988,"Total Population - Both sexes","1000 persons",16525.903,"Cereals, primary","Production","tonnes",21891006,"Cropland","1000 ha",18359
"Australia 1989","Australia",1989,"Total Population - Both sexes","1000 persons",16796.588,"Cereals, primary","Production","tonnes",22375364,"Cropland","1000 ha",17704
"Australia 1990","Australia",1990,"Total Population - Both sexes","1000 persons",17048.003,"Cereals, primary","Production","tonnes",23045332,"Cropland","1000 ha",17137
"Australia 1991","Australia",1991,"Total Population - Both sexes","1000 persons",17271.086,"Cereals, primary","Production","tonnes",22682618,"Cropland","1000 ha",17382
"Australia 1992","Australia",1992,"Total Population - Both sexes","1000 persons",17462.504,"Cereals, primary","Production","tonnes",19863778,"Cropland","1000 ha",16404
"Australia 1993","Australia",1993,"Total Population - Both sexes","1000 persons",17631.511,"Cereals, primary","Production","tonnes",24099636,"Cropland","1000 ha",17297
"Australia 1994","Australia",1994,"Total Population - Both sexes","1000 persons",17805.504,"Cereals, primary","Production","tonnes",27487013,"Cropland","1000 ha",18043
"Australia 1995","Australia",1995,"Total Population - Both sexes","1000 persons",18002.999,"Cereals, primary","Production","tonnes",15699410,"Cropland","1000 ha",17040
"Australia 1996","Australia",1996,"Total Population - Both sexes","1000 persons",18211.845,"Cereals, primary","Production","tonnes",27591195,"Cropland","1000 ha",19409
"Australia 1997","Australia",1997,"Total Population - Both sexes","1000 persons",18410.25,"Cereals, primary","Production","tonnes",35990811.3,"Cropland","1000 ha",21133
"Australia 1998","Australia",1998,"Total Population - Both sexes","1000 persons",18601.667,"Cereals, primary","Production","tonnes",30711400,"Cropland","1000 ha",21595
"Australia 1999","Australia",1999,"Total Population - Both sexes","1000 persons",18800.892,"Cereals, primary","Production","tonnes",33644600,"Cropland","1000 ha",23264
"Australia 2000","Australia",2000,"Total Population - Both sexes","1000 persons",19017.963,"Cereals, primary","Production","tonnes",35386938,"Cropland","1000 ha",23769
"Australia 2001","Australia",2001,"Total Population - Both sexes","1000 persons",19248.143,"Cereals, primary","Production","tonnes",34717520.71,"Cropland","1000 ha",24520
"Australia 2002","Australia",2002,"Total Population - Both sexes","1000 persons",19475.844,"Cereals, primary","Production","tonnes",38590113,"Cropland","1000 ha",24060
"Australia 2003","Australia",2003,"Total Population - Both sexes","1000 persons",19698.999,"Cereals, primary","Production","tonnes",17553202,"Cropland","1000 ha",23575
"Australia 2004","Australia",2004,"Total Population - Both sexes","1000 persons",19925.056,"Cereals, primary","Production","tonnes",42384121.8,"Cropland","1000 ha",26080
"Australia 2005","Australia",2005,"Total Population - Both sexes","1000 persons",20171.731,"Cereals, primary","Production","tonnes",34357112,"Cropland","1000 ha",26742
"Australia 2006","Australia",2006,"Total Population - Both sexes","1000 persons",20467.03,"Cereals, primary","Production","tonnes",40504980,"Cropland","1000 ha",24565
"Australia 2007","Australia",2007,"Total Population - Both sexes","1000 persons",20830.828,"Cereals, primary","Production","tonnes",17771911,"Cropland","1000 ha",23530
"Australia 2008","Australia",2008,"Total Population - Both sexes","1000 persons",21247.873,"Cereals, primary","Production","tonnes",26866214,"Cropland","1000 ha",24374
"Australia 2009","Australia",2009,"Total Population - Both sexes","1000 persons",21660.892,"Cereals, primary","Production","tonnes",34140448.13,"Cropland","1000 ha",27511
"Australia 2010","Australia",2010,"Total Population - Both sexes","1000 persons",22019.168,"Cereals, primary","Production","tonnes",33464873.64,"Cropland","1000 ha",25968
"Australia 2011","Australia",2011,"Total Population - Both sexes","1000 persons",22357.034,"Cereals, primary","Production","tonnes",39973081.87,"Cropland","1000 ha",32078
"Australia 2012","Australia",2012,"Total Population - Both sexes","1000 persons",22729.269,"Cereals, primary","Production","tonnes",43362426.46,"Cropland","1000 ha",31993
"Australia 2013","Australia",2013,"Total Population - Both sexes","1000 persons",23111.782,"Cereals, primary","Production","tonnes",35589235.54,"Cropland","1000 ha",31611
"Australia 2014","Australia",2014,"Total Population - Both sexes","1000 persons",23469.579,"Cereals, primary","Production","tonnes",38420401.88,"Cropland","1000 ha",32307
"Australia 2015","Australia",2015,"Total Population - Both sexes","1000 persons",23820.236,"Cereals, primary","Production","tonnes",37195914.48,"Cropland","1000 ha",31397
"Australia 2016","Australia",2016,"Total Population - Both sexes","1000 persons",24195.701,"Cereals, primary","Production","tonnes",35229824.87,"Cropland","1000 ha",30378
"Australia 2017","Australia",2017,"Total Population - Both sexes","1000 persons",24590.334,"Cereals, primary","Production","tonnes",50049458.35,"Cropland","1000 ha",31074
"Australia 2018","Australia",2018,"Total Population - Both sexes","1000 persons",24979.23,"Cereals, primary","Production","tonnes",33860811.85,"Cropland","1000 ha",31306
"Australia 2019","Australia",2019,"Total Population - Both sexes","1000 persons",25357.17,"Cereals, primary","Production","tonnes",29235685.26,"Cropland","1000 ha",30920
"Australia 2020","Australia",2020,"Total Population - Both sexes","1000 persons",25670.051,"Cereals, primary","Production","tonnes",26612822.12,"Cropland","1000 ha",30996
"Brazil 1961","Brazil",1961,"Total Population - Both sexes","1000 persons",75330.008,"Cereals, primary","Production","tonnes",15036353,"Cropland","1000 ha",31444
"Brazil 1962","Brazil",1962,"Total Population - Both sexes","1000 persons",77599.218,"Cereals, primary","Production","tonnes",15918336,"Cropland","1000 ha",31971
"Brazil 1963","Brazil",1963,"Total Population - Both sexes","1000 persons",79915.555,"Cereals, primary","Production","tonnes",16616892,"Cropland","1000 ha",32498
"Brazil 1964","Brazil",1964,"Total Population - Both sexes","1000 persons",82262.794,"Cereals, primary","Production","tonnes",16469226,"Cropland","1000 ha",33025
"Brazil 1965","Brazil",1965,"Total Population - Both sexes","1000 persons",84623.747,"Cereals, primary","Production","tonnes",20350793,"Cropland","1000 ha",33552
"Brazil 1966","Brazil",1966,"Total Population - Both sexes","1000 persons",86979.283,"Cereals, primary","Production","tonnes",17867924,"Cropland","1000 ha",34079
"Brazil 1967","Brazil",1967,"Total Population - Both sexes","1000 persons",89323.288,"Cereals, primary","Production","tonnes",20322328,"Cropland","1000 ha",34606
"Brazil 1968","Brazil",1968,"Total Population - Both sexes","1000 persons",91659.246,"Cereals, primary","Production","tonnes",20418801,"Cropland","1000 ha",35133
"Brazil 1969","Brazil",1969,"Total Population - Both sexes","1000 persons",94000.381,"Cereals, primary","Production","tonnes",20549860,"Cropland","1000 ha",35660
"Brazil 1970","Brazil",1970,"Total Population - Both sexes","1000 persons",96369.875,"Cereals, primary","Production","tonnes",23698316,"Cropland","1000 ha",36190
"Brazil 1971","Brazil",1971,"Total Population - Both sexes","1000 persons",98766.288,"Cereals, primary","Production","tonnes",22814265,"Cropland","1000 ha",37393
"Brazil 1972","Brazil",1972,"Total Population - Both sexes","1000 persons",101194.394,"Cereals, primary","Production","tonnes",22703928,"Cropland","1000 ha",38596
"Brazil 1973","Brazil",1973,"Total Population - Both sexes","1000 persons",103666.904,"Cereals, primary","Production","tonnes",23721606,"Cropland","1000 ha",39799
"Brazil 1974","Brazil",1974,"Total Population - Both sexes","1000 persons",106167.372,"Cereals, primary","Production","tonnes",26240014,"Cropland","1000 ha",41002
"Brazil 1975","Brazil",1975,"Total Population - Both sexes","1000 persons",108700.515,"Cereals, primary","Production","tonnes",26238419,"Cropland","1000 ha",42207
"Brazil 1976","Brazil",1976,"Total Population - Both sexes","1000 persons",111286.504,"Cereals, primary","Production","tonnes",31143200,"Cropland","1000 ha",45369
"Brazil 1977","Brazil",1977,"Total Population - Both sexes","1000 persons",113939.886,"Cereals, primary","Production","tonnes",30913834,"Cropland","1000 ha",48531
"Brazil 1978","Brazil",1978,"Total Population - Both sexes","1000 persons",116664.382,"Cereals, primary","Production","tonnes",24033646,"Cropland","1000 ha",51693
"Brazil 1979","Brazil",1979,"Total Population - Both sexes","1000 persons",119447.303,"Cereals, primary","Production","tonnes",27147322,"Cropland","1000 ha",54855
"Brazil 1980","Brazil",1980,"Total Population - Both sexes","1000 persons",122288.383,"Cereals, primary","Production","tonnes",33217492,"Cropland","1000 ha",58018.208
"Brazil 1981","Brazil",1981,"Total Population - Both sexes","1000 persons",125168.06,"Cereals, primary","Production","tonnes",32050567,"Cropland","1000 ha",58977
"Brazil 1982","Brazil",1982,"Total Population - Both sexes","1000 persons",128065.095,"Cereals, primary","Production","tonnes",33838263,"Cropland","1000 ha",59936
"Brazil 1983","Brazil",1983,"Total Population - Both sexes","1000 persons",130977.37,"Cereals, primary","Production","tonnes",29197566,"Cropland","1000 ha",60895
"Brazil 1984","Brazil",1984,"Total Population - Both sexes","1000 persons",133888.775,"Cereals, primary","Production","tonnes",32711289,"Cropland","1000 ha",61854
"Brazil 1985","Brazil",1985,"Total Population - Both sexes","1000 persons",136783.18,"Cereals, primary","Production","tonnes",36011139,"Cropland","1000 ha",62810.707
"Brazil 1986","Brazil",1986,"Total Population - Both sexes","1000 persons",139643.355,"Cereals, primary","Production","tonnes",37298400,"Cropland","1000 ha",61540
"Brazil 1987","Brazil",1987,"Total Population - Both sexes","1000 persons",142466.264,"Cereals, primary","Production","tonnes",44148398,"Cropland","1000 ha",60269
"Brazil 1988","Brazil",1988,"Total Population - Both sexes","1000 persons",145253.973,"Cereals, primary","Production","tonnes",42905037,"Cropland","1000 ha",58998
"Brazil 1989","Brazil",1989,"Total Population - Both sexes","1000 persons",148003.411,"Cereals, primary","Production","tonnes",43934410,"Cropland","1000 ha",57727
"Brazil 1990","Brazil",1990,"Total Population - Both sexes","1000 persons",150706.446,"Cereals, primary","Production","tonnes",32490390,"Cropland","1000 ha",56456
"Brazil 1991","Brazil",1991,"Total Population - Both sexes","1000 persons",153336.445,"Cereals, primary","Production","tonnes",36682063,"Cropland","1000 ha",55185
"Brazil 1992","Brazil",1992,"Total Population - Both sexes","1000 persons",155900.79,"Cereals, primary","Production","tonnes",44057994,"Cropland","1000 ha",53914
"Brazil 1993","Brazil",1993,"Total Population - Both sexes","1000 persons",158440.875,"Cereals, primary","Production","tonnes",43073467,"Cropland","1000 ha",52643
"Brazil 1994","Brazil",1994,"Total Population - Both sexes","1000 persons",160980.472,"Cereals, primary","Production","tonnes",45845331.58,"Cropland","1000 ha",51372
"Brazil 1995","Brazil",1995,"Total Population - Both sexes","1000 persons",163515.328,"Cereals, primary","Production","tonnes",49641823,"Cropland","1000 ha",50105
"Brazil 1996","Brazil",1996,"Total Population - Both sexes","1000 persons",166037.122,"Cereals, primary","Production","tonnes",42436960.06,"Cropland","1000 ha",51058
"Brazil 1997","Brazil",1997,"Total Population - Both sexes","1000 persons",168546.707,"Cereals, primary","Production","tonnes",44874819.85,"Cropland","1000 ha",52011
"Brazil 1998","Brazil",1998,"Total Population - Both sexes","1000 persons",171039.804,"Cereals, primary","Production","tonnes",40742023.47,"Cropland","1000 ha",52964
"Brazil 1999","Brazil",1999,"Total Population - Both sexes","1000 persons",173486.281,"Cereals, primary","Production","tonnes",47631962.27,"Cropland","1000 ha",53917
"Brazil 2000","Brazil",2000,"Total Population - Both sexes","1000 persons",175873.72,"Cereals, primary","Production","tonnes",46527201.96,"Cropland","1000 ha",54870
"Brazil 2001","Brazil",2001,"Total Population - Both sexes","1000 persons",178211.881,"Cereals, primary","Production","tonnes",57125393.44,"Cropland","1000 ha",55823
"Brazil 2002","Brazil",2002,"Total Population - Both sexes","1000 persons",180476.685,"Cereals, primary","Production","tonnes",50875594,"Cropland","1000 ha",56776
"Brazil 2003","Brazil",2003,"Total Population - Both sexes","1000 persons",182629.278,"Cereals, primary","Production","tonnes",67454328.6,"Cropland","1000 ha",57729
"Brazil 2004","Brazil",2004,"Total Population - Both sexes","1000 persons",184722.043,"Cereals, primary","Production","tonnes",63953364.1,"Cropland","1000 ha",58682
"Brazil 2005","Brazil",2005,"Total Population - Both sexes","1000 persons",186797.334,"Cereals, primary","Production","tonnes",55670925,"Cropland","1000 ha",59635
"Brazil 2006","Brazil",2006,"Total Population - Both sexes","1000 persons",188820.682,"Cereals, primary","Production","tonnes",59148978,"Cropland","1000 ha",60593
"Brazil 2007","Brazil",2007,"Total Population - Both sexes","1000 persons",190779.453,"Cereals, primary","Production","tonnes",69441634,"Cropland","1000 ha",60859
"Brazil 2008","Brazil",2008,"Total Population - Both sexes","1000 persons",192672.317,"Cereals, primary","Production","tonnes",79745466.44,"Cropland","1000 ha",61125
"Brazil 2009","Brazil",2009,"Total Population - Both sexes","1000 persons",194517.549,"Cereals, primary","Production","tonnes",70914790.87,"Cropland","1000 ha",61391
"Brazil 2010","Brazil",2010,"Total Population - Both sexes","1000 persons",196353.492,"Cereals, primary","Production","tonnes",75160152.06,"Cropland","1000 ha",61657
"Brazil 2011","Brazil",2011,"Total Population - Both sexes","1000 persons",198185.302,"Cereals, primary","Production","tonnes",77586276,"Cropland","1000 ha",61923
"Brazil 2012","Brazil",2012,"Total Population - Both sexes","1000 persons",199977.707,"Cereals, primary","Production","tonnes",89908244,"Cropland","1000 ha",62189
"Brazil 2013","Brazil",2013,"Total Population - Both sexes","1000 persons",201721.767,"Cereals, primary","Production","tonnes",100901726,"Cropland","1000 ha",62455
"Brazil 2014","Brazil",2014,"Total Population - Both sexes","1000 persons",203459.65,"Cereals, primary","Production","tonnes",101402184,"Cropland","1000 ha",62721
"Brazil 2015","Brazil",2015,"Total Population - Both sexes","1000 persons",205188.205,"Cereals, primary","Production","tonnes",106026684.77,"Cropland","1000 ha",62987
"Brazil 2016","Brazil",2016,"Total Population - Both sexes","1000 persons",206859.578,"Cereals, primary","Production","tonnes",84166681.6,"Cropland","1000 ha",63253
"Brazil 2017","Brazil",2017,"Total Population - Both sexes","1000 persons",208504.96,"Cereals, primary","Production","tonnes",117977043.93,"Cropland","1000 ha",63517.8
"Brazil 2018","Brazil",2018,"Total Population - Both sexes","1000 persons",210166.592,"Cereals, primary","Production","tonnes",103259650.85,"Cropland","1000 ha",63518
"Brazil 2019","Brazil",2019,"Total Population - Both sexes","1000 persons",211782.878,"Cereals, primary","Production","tonnes",121202408.5,"Cropland","1000 ha",63518
"Brazil 2020","Brazil",2020,"Total Population - Both sexes","1000 persons",213196.304,"Cereals, primary","Production","tonnes",125567855.04,"Cropland","1000 ha",63518
"Bulgaria 1961","Bulgaria",1961,"Total Population - Both sexes","1000 persons",7969.342,"Cereals, primary","Production","tonnes",4403935,"Cropland","1000 ha",4619
"Bulgaria 1962","Bulgaria",1962,"Total Population - Both sexes","1000 persons",8040.772,"Cereals, primary","Production","tonnes",4466325,"Cropland","1000 ha",4538
